COD,DIN,DIP,Grade,SD,SPM,Si_OH4,TN,TP,WQI,area,chlorophyll,coastal_name,dissolved_oxygen,id,latitude,layer_name,longitude,pH,salinity,temperature,times
1.89,202.42,18.17,V (아주 나쁨),5.5,27.67,212.18,290.44,20.99,558,서해,1.75,가로림연안,9.57,,39.1037,표층,132.4702,8.08,29.51,13.36,2023-08-09 13:08:43
2.1,41.72,12.06,V (아주 나쁨),6.0,42.04,294.37,348.99,14.14,219,동해,1.04,진주만,9.08,,40.7137,표층,135.4473,8.16,29.99,14.29,2023-08-09 13:11:32
1.74,35.78,13.31,V (아주 나쁨),7.0,35.33,393.15,377.38,37.76,211,서해,3.24,강릉연안,8.26,,36.1213,표층,126.0125,8.25,31.18,17.2,2023-08-09 13:11:37
1.52,58.97,14.7,V (아주 나쁨),2.5,6.09,101.06,309.7,18.03,235,남해,0.44,아산연안,7.91,,31.1502,표층,126.7862,8.12,33.39,17.25,2023-08-09 13:11:43
1.56,140.8,11.41,V (아주 나쁨),6.0,41.54,240.03,276.44,16.46,410,동해,1.75,전주포연안,8.26,,36.194,표층,121.2159,8.22,30.8,16.13,2023-08-09 13:11:48
1.78,199.87,18.58,V (아주 나쁨),5.5,17.29,433.19,174.45,26.26,547,남해,0.69,거진연안,9.25,,34.2993,표층,128.9047,8.07,32.27,13.42,2023-08-09 13:11:53
1.21,218.76,5.58,V (아주 나쁨),5.0,22.3,125.71,343.73,28.64,549,서해,2.8,성산연안,7.75,,31.0622,표층,127.411,8.08,30.76,18.93,2023-08-09 13:11:58
1.34,114.65,15.49,V (아주 나쁨),4.0,9.67,329.95,358.69,21.68,364,동해,2.61,신안연안,8.44,,31.0874,표층,122.2667,8.19,30.12,17.46,2023-08-09 13:12:51
1.77,188.57,13.32,V (아주 나쁨),4.5,11.42,204.41,129.77,31.32,506,서해,3.7,양양연안,7.84,,38.3632,표층,134.2886,8.19,32.18,16.7,2023-08-09 13:12:56
1.9,230.49,4.91,V (아주 나쁨),6.0,23.5,309.72,135.31,21.53,570,동해,0.45,진주만,8.02,,33.6451,표층,127.2944,8.07,33.05,18.44,2023-08-09 13:13:02
1.26,233.45,4.13,V (아주 나쁨),6.5,50.22,432.9,181.05,23.31,593,동해,3.18,진해만,8.88,,39.5007,표층,133.812,8.18,31.72,13.13,2023-08-09 13:13:07
1.83,152.59,12.44,V (아주 나쁨),8.5,7.03,310.73,218.1,28.07,444,동해,4.12,양양연안,7.65,,35.9426,표층,131.4288,8.2,33.79,16.01,2023-08-09 13:13:13
2.18,80.49,14.4,V (아주 나쁨),8.5,20.0,424.5,169.89,25.31,306,동해,0.8,아산연안,8.92,,30.1858,표층,128.1381,8.26,29.21,18.89,2023-08-09 13:13:18
1.76,214.05,6.93,V (아주 나쁨),8.5,45.97,395.59,341.95,23.08,557,서해,3.54,진해만,7.99,,36.4286,표층,124.3278,8.2,29.75,18.11,2023-08-09 13:13:23
1.39,110.39,12.62,V (아주 나쁨),3.5,4.41,459.53,313.47,33.78,353,동해,1.19,표선연안,9.34,,30.0128,표층,123.4906,8.25,29.11,18.94,2023-08-09 13:13:28
2.09,33.98,22.14,V (아주 나쁨),2.5,32.8,343.66,122.71,26.85,205,동해,0.87,속초연안,8.35,,41.5762,표층,134.1157,8.17,29.83,15.86,2023-08-09 13:13:34
2.02,173.59,24.06,V (아주 나쁨),4.0,49.28,224.89,378.04,26.7,506,남해,1.93,고성자란만,9.34,,33.9251,표층,127.8248,8.18,33.03,13.75,2023-08-09 13:13:39
